id,label,properties
12041,date,datetime,1955-09-01
10663,date,datetime,1911-06-26
26377,date,datetime,1937-06-23
24643,date,datetime,1963-08-13
9746,date,datetime,1963-09-17
11224,date,datetime,1881-01-01
26242,date,datetime,1912-12-24
97,date,datetime,1913-06-22
15310,date,datetime,1969-05-22
21267,date,datetime,1962-03-30
14268,date,datetime,1968-08-10
16098,date,datetime,1977-07-30
17864,date,datetime,1973-03-06
20761,date,datetime,2007-02-18
16808,date,datetime,1892-05-23
25922,date,datetime,1923-02-02
10390,date,datetime,1901-04-23
10061,date,datetime,1954-08-01
13621,date,datetime,1968-01-23
14696,date,datetime,1968-10-21
